date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:53:44	77249/77249	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202024%2008:30:49%20GMT	https://templates.hibotheme.com/clim/default/index.html	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/index.html	(from )
02:53:44	633/633	---MCZ	200	added ('OK')	text/plain	date:Thu,%2012%20Feb%202026%2020:53:44%20GMT	https://templates.hibotheme.com/robots.txt		(from )
02:53:45	232756/232756	---MCZ	200	added ('OK')	text/css	etag:W/%226603d950-38d34%22	https://templates.hibotheme.com/clim/default/assets/css/bootstrap.min.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/bootstrap.min.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:45	5024/5024	---MCZ	200	added ('OK')	text/css	etag:W/%226603d955-13a0%22	https://templates.hibotheme.com/clim/default/assets/css/flaticon.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/flaticon.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:45	138821/138821	---MCZ	200	added ('OK')	text/css	etag:W/%226603d952-21e45%22	https://templates.hibotheme.com/clim/default/assets/css/remixicon.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/remixicon.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:45	3352/3352	---MCZ	200	added ('OK')	text/css	etag:W/%226603d954-d18%22	https://templates.hibotheme.com/clim/default/assets/css/owl.carousel.min.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/owl.carousel.min.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:45	1014/1014	---MCZ	200	added ('OK')	text/css	etag:W/%226603d951-3f6%22	https://templates.hibotheme.com/clim/default/assets/css/owl-theme-default-min.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/owl-theme-default-min.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:45	3123/3123	---MCZ	200	added ('OK')	text/css	etag:W/%226603d954-c33%22	https://templates.hibotheme.com/clim/default/assets/css/odometer.min.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/odometer.min.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:46	12795/12795	---MCZ	200	added ('OK')	text/css	etag:W/%226603d952-31fb%22	https://templates.hibotheme.com/clim/default/assets/css/fancybox.min.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/fancybox.min.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:46	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%226603d951-65c5%22	https://templates.hibotheme.com/clim/default/assets/css/aos.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/aos.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:46	128418/128418	---MCZ	200	added ('OK')	text/css	etag:W/%226603d954-1f5a2%22	https://templates.hibotheme.com/clim/default/assets/css/style.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/style.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:46	43360/43360	---MCZ	200	added ('OK')	text/css	etag:W/%226603d953-a960%22	https://templates.hibotheme.com/clim/default/assets/css/responsive.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/responsive.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:47	12599/12599	---MCZ	200	added ('OK')	text/css	etag:W/%226603d953-3137%22	https://templates.hibotheme.com/clim/default/assets/css/dark-theme.css	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/css/dark-theme.css	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:47	4677/4677	---M--	200	added ('OK')	image/png	etag:%226603d967-1245%22	https://templates.hibotheme.com/clim/default/assets/img/favicon.png	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/img/favicon.png	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:47	2268/2268	---M--	200	added ('OK')	image/png	etag:%226603d96b-8dc%22	https://templates.hibotheme.com/clim/default/assets/img/uk.png	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/img/uk.png	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:47	957/957	---M--	200	added ('OK')	image/png	etag:%226603d960-3bd%22	https://templates.hibotheme.com/clim/default/assets/img/china.png	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/img/china.png	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:48	1336/1336	---M--	200	added ('OK')	image/png	etag:%226603d961-538%22	https://templates.hibotheme.com/clim/default/assets/img/uae.png	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/img/uae.png	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:48	6719/6719	---M--	200	added ('OK')	image/png	etag:%226603d968-1a3f%22	https://templates.hibotheme.com/clim/default/assets/img/logo.png	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/img/logo.png	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:48	6555/6555	---M--	200	added ('OK')	image/png	etag:%226603d965-199b%22	https://templates.hibotheme.com/clim/default/assets/img/logo-white.png	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/assets/img/logo-white.png	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:48	87194/87194	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202024%2008:30:47%20GMT	https://templates.hibotheme.com/clim/default/index-2.html	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/index-2.html	(from https://templates.hibotheme.com/clim/default/index.html)
02:53:49	76761/76761	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Mar%202024%2008:30:51%20GMT	https://templates.hibotheme.com/clim/default/index-3.html	E:/master%20class%20Assingment/Project/Climate%20Change%20Awareness/templates.hibotheme.com/clim/default/index-3.html	(from https://templates.hibotheme.com/clim/default/index.html)
